step loss
0 1.360582570263e+00
5 6.536927064663e-01
10 1.986834531579e-01
15 6.307018817864e-02
20 4.970572242786e-02
25 3.037368111464e-02
30 2.276165420847e-02
35 1.452415068335e-02
40 9.514645262670e-03
45 6.391072308770e-03
50 4.337301749976e-03
55 3.581480045793e-03
60 2.841324804317e-03
65 2.226048846318e-03
70 1.527150192506e-03
75 9.613330479218e-04
80 8.037063474739e-04
85 8.358625615496e-04
90 7.425462520952e-04
95 6.142437223995e-04
100 5.748942392117e-04
105 5.484797204361e-04
110 5.030849824427e-04
115 4.687898225889e-04
120 4.463837371052e-04
125 4.223259313833e-04
130 4.001522753932e-04
135 3.821086588324e-04
140 3.649838469029e-04
145 3.492693535022e-04
150 3.354111478116e-04
155 3.224334198638e-04
160 3.104045571948e-04
165 2.994008677403e-04
170 2.891629549943e-04
175 2.796702372215e-04
180 2.708521121749e-04
185 2.626135784994e-04
190 2.549222016256e-04
195 2.477227066983e-04
200 2.409731591443e-04
205 2.346368079823e-04
210 2.286744947823e-04
215 2.230575183435e-04
220 2.177577954936e-04
225 2.127498799662e-04
230 2.080105417487e-04
235 2.035183872358e-04
240 1.992547922152e-04
245 1.952024787083e-04
250 1.913456865580e-04
255 1.876698430561e-04
260 1.841616947708e-04
265 1.808091510620e-04
270 1.776010786234e-04
275 1.745272267084e-04
280 1.715781515456e-04
285 1.687451865863e-04
290 1.660203290548e-04
295 1.633961852924e-04
300 1.608659151616e-04
305 1.584232036445e-04
310 1.560622062409e-04
315 1.537775091281e-04
320 1.515640919556e-04
325 1.494173016939e-04
330 1.473328210016e-04
335 1.453066417359e-04
340 1.433350405932e-04
345 1.414145592097e-04
350 1.395419834521e-04
355 1.377143251951e-04
360 1.359288055566e-04
365 1.341828403167e-04
370 1.324740257471e-04
375 1.308001258986e-04
380 1.291590608832e-04
385 1.275488962763e-04
390 1.259678331439e-04
395 1.244141989576e-04
400 1.228864392628e-04
405 1.213831100072e-04
410 1.199028704497e-04
415 1.184444766349e-04
420 1.170067754102e-04
425 1.155886988908e-04
430 1.141892593736e-04
435 1.128075446536e-04
440 1.114427137204e-04
445 1.100939927912e-04
450 1.087606716635e-04
455 1.074421003634e-04
460 1.061376860598e-04
465 1.048468902285e-04
470 1.035692260439e-04
475 1.023042559776e-04
480 1.010515895884e-04
485 9.981088148223e-05
490 9.858182942977e-05
495 9.736417262167e-05
499 9.639810193477e-05
