index train_mse
0 9.615769004875e-05
1 4.518164873186e-05
2 1.047900714646e-04
3 4.507553116840e-05
4 3.865733010259e-04
5 8.061974058061e-05
6 4.511266931403e-05
7 4.507551609921e-05
8 4.511923308623e-05
9 4.479861004814e-04
10 4.507551609921e-05
11 4.507551621660e-05
12 1.625449366093e-04
13 4.507551609921e-05
14 1.313538438193e-04
15 4.195846304288e-04
16 4.263727856067e-04
17 1.808613913713e-04
18 4.507588574334e-05
19 4.507604475644e-05
20 4.507551690990e-05
21 4.507551609921e-05
22 4.539589456705e-05
23 2.876540199722e-04
24 2.422756216951e-04
25 2.238439714872e-04
26 4.507551609923e-05
27 7.992919143716e-04
28 4.507551609921e-05
29 2.247862338817e-04
