x target learned residual
-0.950000 -0.8377225210 -0.8035288950 3.4193625973e-02
-0.938125 -0.8375780056 -0.8327637680 4.8142375127e-03
-0.926250 -0.8372747991 -0.8494613751 -1.2186575984e-02
-0.914375 -0.8368002897 -0.8577317065 -2.0931416812e-02
-0.902500 -0.8361424240 -0.8603173160 -2.4174891997e-02
-0.890625 -0.8352897005 -0.8591122932 -2.3822592711e-02
-0.878750 -0.8342311618 -0.8554492441 -2.1218082301e-02
-0.866875 -0.8329563881 -0.8502724016 -1.7316013469e-02
-0.855000 -0.8314554895 -0.8442490228 -1.2793533269e-02
-0.843125 -0.8297190990 -0.8378446901 -8.1255911226e-03
-0.831250 -0.8277383655 -0.8313761778 -3.6378122700e-03
-0.819375 -0.8255049465 -0.8250496706 4.5527596442e-04
-0.807500 -0.8230110009 -0.8189890246 4.0219763264e-03
-0.795625 -0.8202491819 -0.8132570260 6.9921558894e-03
-0.783750 -0.8172126297 -0.8078715862 9.3410435065e-03
-0.771875 -0.8138949647 -0.8028181899 1.1076774802e-02
-0.760000 -0.8102902799 -0.7980595148 1.2230765111e-02
-0.748125 -0.8063931340 -0.7935428832 1.2850250745e-02
-0.736250 -0.8021985441 -0.7892060296 1.2992514516e-02
-0.724375 -0.7977019788 -0.7849815456 1.2720433184e-02
-0.712500 -0.7928993505 -0.7808002797 1.2099070748e-02
-0.700625 -0.7877870089 -0.7765939048 1.1193104040e-02
-0.688750 -0.7823617333 -0.7722968201 1.0064913218e-02
-0.676875 -0.7766207258 -0.7678475214 8.7732044201e-03
-0.665000 -0.7705616039 -0.7631895456 7.3720582717e-03
-0.653125 -0.7641823933 -0.7582720749 5.9103184476e-03
-0.641250 -0.7574815212 -0.7530502707 4.4312505228e-03
-0.629375 -0.7504578084 -0.7474853943 2.9724141155e-03
-0.617500 -0.7431104628 -0.7415447613 1.5657015500e-03
-0.605625 -0.7354390719 -0.7352015673 2.3750455545e-04
-0.593750 -0.7274435956 -0.7284346183 -9.9102270536e-04
-0.581875 -0.7191243593 -0.7212279897 -2.1036304070e-03
-0.570000 -0.7104820464 -0.7135706375 -3.0885911355e-03
-0.558125 -0.7015176915 -0.7054559784 -3.9382869111e-03
-0.546250 -0.6922326729 -0.6968814525 -4.6487795747e-03
-0.534375 -0.6826287057 -0.6878480819 -5.2193762301e-03
-0.522500 -0.6727078344 -0.6783600335 -5.6521991430e-03
-0.510625 -0.6624724260 -0.6684241935 -5.9517675501e-03
-0.498750 -0.6519251625 -0.6580497597 -6.1245971921e-03
-0.486875 -0.6410690341 -0.6472478561 -6.1788219849e-03
-0.475000 -0.6299073319 -0.6360311730 -6.1238410648e-03
-0.463125 -0.6184436405 -0.6244136340 -5.9699934425e-03
-0.451250 -0.6066818313 -0.6124100930 -5.7282616584e-03
-0.439375 -0.5946260548 -0.6000360599 -5.4100051223e-03
-0.427500 -0.5822807339 -0.5873074571 -5.0267232293e-03
-0.415625 -0.5696505565 -0.5742404044 -4.5898478542e-03
-0.403750 -0.5567404685 -0.5608510329 -4.1105644214e-03
-0.391875 -0.5435556662 -0.5471553266 -3.5996604241e-03
-0.380000 -0.5301015898 -0.5331689899 -3.0674000078e-03
-0.368125 -0.5163839158 -0.5189073389 -2.5234230317e-03
-0.356250 -0.5024085499 -0.5043852167 -1.9766668733e-03
-0.344375 -0.4881816197 -0.4896169289 -1.4353091400e-03
-0.332500 -0.4737094681 -0.4746161975 -9.0672938172e-04
-0.320625 -0.4589986454 -0.4593961333 -3.9748787298e-04
-0.308750 -0.4440559026 -0.4439692221 8.6680471997e-05
-0.296875 -0.4288881841 -0.4283473251 5.4085896259e-04
-0.285000 -0.4135026206 -0.4125416900 9.6093063845e-04
-0.273125 -0.3979065219 -0.3965629717 1.3435502204e-03
-0.261250 -0.3821073696 -0.3804212613 1.6861082261e-03
-0.249375 -0.3661128101 -0.3641261212 1.9866888768e-03
-0.237500 -0.3499306475 -0.3476866242 2.2440233196e-03
-0.225625 -0.3335688362 -0.3311113967 2.4574395733e-03
-0.213750 -0.3170354741 -0.3144086636 2.6268104912e-03
-0.201875 -0.3003387949 -0.2975862940 2.7525009067e-03
-0.190000 -0.2834871614 -0.2806518464 2.8353150026e-03
-0.178125 -0.2664890582 -0.2636126134 2.8764448162e-03
-0.166250 -0.2493530845 -0.2464756638 2.8774206625e-03
-0.154375 -0.2320879468 -0.2292478827 2.8400641321e-03
-0.142500 -0.2147024523 -0.2119360081 2.7664441934e-03
-0.130625 -0.1972055008 -0.1945466640 2.6588368063e-03
-0.118750 -0.1796060784 -0.1770863900 2.5196883383e-03
-0.106875 -0.1619132499 -0.1595616670 2.3515829594e-03
-0.095000 -0.1441361518 -0.1419789377 2.1572140859e-03
-0.083125 -0.1262839850 -0.1243446252 1.9393598416e-03
-0.071250 -0.1083660077 -0.1066651453 1.7008624140e-03
-0.059375 -0.0903915283 -0.0889469172 1.4446110947e-03
-0.047500 -0.0723698981 -0.0711963694 1.1735287170e-03
-0.035625 -0.0543105043 -0.0534199432 8.9056113720e-04
-0.023750 -0.0362227628 -0.0356240934 5.9866934271e-04
-0.011875 -0.0181161108 -0.0178152871 3.0082372325e-04
0.000000 0.0000000000 -0.0000000000 -5.5511151231e-17
0.011875 0.0181161108 0.0178152871 -3.0082372325e-04
0.023750 0.0362227628 0.0356240934 -5.9866934271e-04
0.035625 0.0543105043 0.0534199432 -8.9056113720e-04
0.047500 0.0723698981 0.0711963694 -1.1735287170e-03
0.059375 0.0903915283 0.0889469172 -1.4446110947e-03
0.071250 0.1083660077 0.1066651453 -1.7008624140e-03
0.083125 0.1262839850 0.1243446252 -1.9393598416e-03
0.095000 0.1441361518 0.1419789377 -2.1572140859e-03
0.106875 0.1619132499 0.1595616670 -2.3515829594e-03
0.118750 0.1796060784 0.1770863900 -2.5196883383e-03
0.130625 0.1972055008 0.1945466640 -2.6588368063e-03
0.142500 0.2147024523 0.2119360081 -2.7664441934e-03
0.154375 0.2320879468 0.2292478827 -2.8400641321e-03
0.166250 0.2493530845 0.2464756638 -2.8774206625e-03
0.178125 0.2664890582 0.2636126134 -2.8764448162e-03
0.190000 0.2834871614 0.2806518464 -2.8353150026e-03
0.201875 0.3003387949 0.2975862940 -2.7525009067e-03
0.213750 0.3170354741 0.3144086636 -2.6268104912e-03
0.225625 0.3335688362 0.3311113967 -2.4574395733e-03
0.237500 0.3499306475 0.3476866242 -2.2440233196e-03
0.249375 0.3661128101 0.3641261212 -1.9866888768e-03
0.261250 0.3821073696 0.3804212613 -1.6861082261e-03
0.273125 0.3979065219 0.3965629717 -1.3435502204e-03
0.285000 0.4135026206 0.4125416900 -9.6093063845e-04
0.296875 0.4288881841 0.4283473251 -5.4085896259e-04
0.308750 0.4440559026 0.4439692221 -8.6680471997e-05
0.320625 0.4589986454 0.4593961333 3.9748787298e-04
0.332500 0.4737094681 0.4746161975 9.0672938172e-04
0.344375 0.4881816197 0.4896169289 1.4353091400e-03
0.356250 0.5024085499 0.5043852167 1.9766668733e-03
0.368125 0.5163839158 0.5189073389 2.5234230317e-03
0.380000 0.5301015898 0.5331689899 3.0674000078e-03
0.391875 0.5435556662 0.5471553266 3.5996604241e-03
0.403750 0.5567404685 0.5608510329 4.1105644214e-03
0.415625 0.5696505565 0.5742404044 4.5898478542e-03
0.427500 0.5822807339 0.5873074571 5.0267232293e-03
0.439375 0.5946260548 0.6000360599 5.4100051223e-03
0.451250 0.6066818313 0.6124100930 5.7282616584e-03
0.463125 0.6184436405 0.6244136340 5.9699934425e-03
0.475000 0.6299073319 0.6360311730 6.1238410648e-03
0.486875 0.6410690341 0.6472478561 6.1788219849e-03
0.498750 0.6519251625 0.6580497597 6.1245971921e-03
0.510625 0.6624724260 0.6684241935 5.9517675501e-03
0.522500 0.6727078344 0.6783600335 5.6521991430e-03
0.534375 0.6826287057 0.6878480819 5.2193762301e-03
0.546250 0.6922326729 0.6968814525 4.6487795747e-03
0.558125 0.7015176915 0.7054559784 3.9382869111e-03
0.570000 0.7104820464 0.7135706375 3.0885911355e-03
0.581875 0.7191243593 0.7212279897 2.1036304070e-03
0.593750 0.7274435956 0.7284346183 9.9102270536e-04
0.605625 0.7354390719 0.7352015673 -2.3750455545e-04
0.617500 0.7431104628 0.7415447613 -1.5657015500e-03
0.629375 0.7504578084 0.7474853943 -2.9724141155e-03
0.641250 0.7574815212 0.7530502707 -4.4312505228e-03
0.653125 0.7641823933 0.7582720749 -5.9103184476e-03
0.665000 0.7705616039 0.7631895456 -7.3720582717e-03
0.676875 0.7766207258 0.7678475214 -8.7732044201e-03
0.688750 0.7823617333 0.7722968201 -1.0064913218e-02
0.700625 0.7877870089 0.7765939048 -1.1193104040e-02
0.712500 0.7928993505 0.7808002797 -1.2099070748e-02
0.724375 0.7977019788 0.7849815456 -1.2720433184e-02
0.736250 0.8021985441 0.7892060296 -1.2992514516e-02
0.748125 0.8063931340 0.7935428832 -1.2850250745e-02
0.760000 0.8102902799 0.7980595148 -1.2230765111e-02
0.771875 0.8138949647 0.8028181899 -1.1076774802e-02
0.783750 0.8172126297 0.8078715862 -9.3410435065e-03
0.795625 0.8202491819 0.8132570260 -6.9921558894e-03
0.807500 0.8230110009 0.8189890246 -4.0219763264e-03
0.819375 0.8255049465 0.8250496706 -4.5527596442e-04
0.831250 0.8277383655 0.8313761778 3.6378122700e-03
0.843125 0.8297190990 0.8378446901 8.1255911226e-03
0.855000 0.8314554895 0.8442490228 1.2793533269e-02
0.866875 0.8329563881 0.8502724016 1.7316013469e-02
0.878750 0.8342311618 0.8554492441 2.1218082301e-02
0.890625 0.8352897005 0.8591122932 2.3822592711e-02
0.902500 0.8361424240 0.8603173160 2.4174891997e-02
0.914375 0.8368002897 0.8577317065 2.0931416812e-02
0.926250 0.8372747991 0.8494613751 1.2186575984e-02
0.938125 0.8375780056 0.8327637680 -4.8142375127e-03
0.950000 0.8377225210 0.8035288950 -3.4193625973e-02
